"","idiom_id","doc_id","doc_name","left_context","idiom_found","right_context","idiom_lemma","pos","pos_head","xml_id","with_verb","verb","amountofnouns","id","doc_type","doc_type_name","sentenceid","most_common_lemma","idiom_length_orig","idiom_length_this"
"9",1,"WR-P-E-C-0000000573","Als een vis in het water"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.14.s.1.w.32 p.14.s.1.w.33 p.14.s.1.w.34 p.14.s.1.w.35",0,"",2,9,"WR-P-E-C","e-magazines","WR-P-E-C-0000000573-p.14.s.1","regen in de drup",4,4
"113",1,"WR-P-E-L-0000000405","Unspecified"," @keesfr typisch geval van de","regen in de drup"," . ben beperkt oo mijn","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","text.1.event.1920.s.1.w.6 text.1.event.1920.s.1.w.7 text.1.event.1920.s.1.w.8 text.1.event.1920.s.1.w.9",0,"",2,113,"WR-P-E-L","tweets","WR-P-E-L-0000000405-text.1.event.1920.s.1","regen in de drup",4,4
"133",1,"WR-P-P-I-0000000217","Hervatting van de zitting"," dan zouden we van de","regen in de drup"," komen . We moeten in","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.83.s.5.w.23 p.83.s.5.w.24 p.83.s.5.w.25 p.83.s.5.w.26",0,"",2,133,"WR-P-P-I","policy documents","WR-P-P-I-0000000217-p.83.s.5","regen in de drup",4,4
"65",1,"WR-P-E-C-0000000900","Eerste Grote Knuffel-dag"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.11.s.1.w.32 p.11.s.1.w.33 p.11.s.1.w.34 p.11.s.1.w.35",0,"",2,65,"WR-P-E-C","e-magazines","WR-P-E-C-0000000900-p.11.s.1","regen in de drup",4,4
"72",1,"WR-P-E-C-0000000592","Mijn parel is een juweel"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35",0,"",2,72,"WR-P-E-C","e-magazines","WR-P-E-C-0000000592-p.8.s.1","regen in de drup",4,4
"85",1,"WR-P-E-C-0000000887","Er zijn van die dagen"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.7.s.1.w.32 p.7.s.1.w.33 p.7.s.1.w.34 p.7.s.1.w.35",0,"",2,85,"WR-P-E-C","e-magazines","WR-P-E-C-0000000887-p.7.s.1","regen in de drup",4,4
"28",1,"WR-P-E-L-0000000255","Unspecified"," Teletubbies eens . Van de","regen in de drup"," . Overigens , #Tropenmuseum :","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","text.1.event.5592.s.3.w.3 text.1.event.5592.s.3.w.4 text.1.event.5592.s.3.w.5 text.1.event.5592.s.3.w.6",0,"",2,28,"WR-P-E-L","tweets","WR-P-E-L-0000000255-text.1.event.5592.s.3","regen in de drup",4,4
"56",1,"WR-P-E-C-0000000825","Aïd El Idha"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.10.s.1.w.32 p.10.s.1.w.33 p.10.s.1.w.34 p.10.s.1.w.35",0,"",2,56,"WR-P-E-C","e-magazines","WR-P-E-C-0000000825-p.10.s.1","regen in de drup",4,4
"146",1,"WR-P-P-G-0000070299","`Irak is centrale front in oorlog tegen terreur'"," hij de economie van de","regen in de drup"," helpt . Daarom besloot president","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.6.s.4.w.10 p.6.s.4.w.11 p.6.s.4.w.12 p.6.s.4.w.13",0,"",2,146,"WR-P-P-G","newspapers","WR-P-P-G-0000070299-p.6.s.4","regen in de drup",4,4
"7",1,"WR-P-E-C-0000000615","Belgische wegen van goud"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.6.s.1.w.32 p.6.s.1.w.33 p.6.s.1.w.34 p.6.s.1.w.35",0,"",2,7,"WR-P-E-C","e-magazines","WR-P-E-C-0000000615-p.6.s.1","regen in de drup",4,4
"20",1,"WR-P-E-A-0004404037","Per ongeluk"," luierfetisjisme ontstaan , van de","regen in de drup"," ","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.1.s.4.w.32 p.1.s.4.w.33 p.1.s.4.w.34 p.1.s.4.w.35",0,"",2,20,"WR-P-E-A","discussion lists","WR-P-E-A-0004404037-p.1.s.4","regen in de drup",4,4
"102",1,"WR-P-E-C-0000000884","Heimwee"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.10.s.1.w.32 p.10.s.1.w.33 p.10.s.1.w.34 p.10.s.1.w.35",0,"",2,102,"WR-P-E-C","e-magazines","WR-P-E-C-0000000884-p.10.s.1","regen in de drup",4,4
"135",1,"WR-P-P-G-0000004241","Privatisering"," en belanden wij van de","regen in de drup"," . Het doel van liberalisering","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.3.s.4.w.9 p.3.s.4.w.10 p.3.s.4.w.11 p.3.s.4.w.12",0,"",2,135,"WR-P-P-G","newspapers","WR-P-P-G-0000004241-p.3.s.4","regen in de drup",4,4
"93",1,"WR-P-E-C-0000001197","t Is weer voorbije die mooie zomer"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35",0,"",2,93,"WR-P-E-C","e-magazines","WR-P-E-C-0000001197-p.8.s.1","regen in de drup",4,4
"29",1,"WR-P-E-L-0000000357","Unspecified"," 39 Celsius . Van de","regen in de drup"," ? #hetisooknooitgoed ;-)) @ Ton_Cooijmans","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","text.1.event.598.s.2.w.3 text.1.event.598.s.2.w.4 text.1.event.598.s.2.w.5 text.1.event.598.s.2.w.6",0,"",2,29,"WR-P-E-L","tweets","WR-P-E-L-0000000357-text.1.event.598.s.2","regen in de drup",4,4
"131",1,"WR-P-P-H-0000150684","De toekomst van de wijsbegeerte"," niet verliest . Van de","regen in de drup"," raakt ze alleen maar wanneer","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.9.s.2.w.3 p.9.s.2.w.4 p.9.s.2.w.5 p.9.s.2.w.6",0,"",2,131,"WR-P-P-H","periodicals magazines","WR-P-P-H-0000150684-p.9.s.2","regen in de drup",4,4
"11",1,"WR-P-E-C-0000000587","Rondje Medina"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.7.s.1.w.32 p.7.s.1.w.33 p.7.s.1.w.34 p.7.s.1.w.35",0,"",2,11,"WR-P-E-C","e-magazines","WR-P-E-C-0000000587-p.7.s.1","regen in de drup",4,4
"86",1,"WR-P-E-C-0000001125","Bijgeloof"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35",0,"",2,86,"WR-P-E-C","e-magazines","WR-P-E-C-0000001125-p.8.s.1","regen in de drup",4,4
"74",1,"WR-P-E-C-0000001134","Teleurgesteld"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35",0,"",2,74,"WR-P-E-C","e-magazines","WR-P-E-C-0000001134-p.9.s.1","regen in de drup",4,4
"46",1,"WR-P-E-C-0000001005","Smakelijk eten"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.7.s.1.w.32 p.7.s.1.w.33 p.7.s.1.w.34 p.7.s.1.w.35",0,"",2,46,"WR-P-E-C","e-magazines","WR-P-E-C-0000001005-p.7.s.1","regen in de drup",4,4
"89",1,"WR-P-E-C-0000000871","Doctor"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35",0,"",2,89,"WR-P-E-C","e-magazines","WR-P-E-C-0000000871-p.8.s.1","regen in de drup",4,4
"126",1,"WR-P-P-H-0000150945","Nederlandse oorlogen"," "" raakt Irak van de","regen in de drup"," "" . Overigens heeft volgens","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.3.s.2.w.12 p.3.s.2.w.13 p.3.s.2.w.14 p.3.s.2.w.15",0,"",2,126,"WR-P-P-H","periodicals magazines","WR-P-P-H-0000150945-p.3.s.2","regen in de drup",4,4
"106",1,"WR-P-E-C-0000000886","Warmlopertje"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35",0,"",2,106,"WR-P-E-C","e-magazines","WR-P-E-C-0000000886-p.8.s.1","regen in de drup",4,4
"147",1,"WR-P-P-G-0000129021","Een arts voor de wonden die het wilde paard sloeg"," ander : "" Van de","regen in de drup"," . ' En , wrang","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.3.s.1.w.4 p.3.s.1.w.5 p.3.s.1.w.6 p.3.s.1.w.7",0,"",2,147,"WR-P-P-G","newspapers","WR-P-P-G-0000129021-p.3.s.1","regen in de drup",4,4
"27",1,"WR-P-E-L-0000000565","Unspecified"," helpen we ondernemers van de","regen in de drup"," . Moeten we niet doen","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","text.1.event.1256.s.2.w.7 text.1.event.1256.s.2.w.8 text.1.event.1256.s.2.w.9 text.1.event.1256.s.2.w.10",0,"",2,27,"WR-P-E-L","tweets","WR-P-E-L-0000000565-text.1.event.1256.s.2","regen in de drup",4,4
"103",1,"WR-P-E-C-0000000786","Vakantieliefdes"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35",0,"",2,103,"WR-P-E-C","e-magazines","WR-P-E-C-0000000786-p.9.s.1","regen in de drup",4,4
"87",1,"WR-P-E-C-0000001151","Topvrouwen"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35",0,"",2,87,"WR-P-E-C","e-magazines","WR-P-E-C-0000001151-p.8.s.1","regen in de drup",4,4
"143",1,"WR-P-P-G-0000033609","Kwestie van afwachten"," raakt de klant van de","regen in de drup"," : van geen keuken naar","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.4.s.3.w.9 p.4.s.3.w.10 p.4.s.3.w.11 p.4.s.3.w.12",0,"",2,143,"WR-P-P-G","newspapers","WR-P-P-G-0000033609-p.4.s.3","regen in de drup",4,4
"26",1,"WR-P-E-L-0000000197","Unspecified"," weet zit je van de","regen in de drup"," . @MeerAdvies Cocktails maken het","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","text.1.event.4848.s.1.w.10 text.1.event.4848.s.1.w.11 text.1.event.4848.s.1.w.12 text.1.event.4848.s.1.w.13",0,"",2,26,"WR-P-E-L","tweets","WR-P-E-L-0000000197-text.1.event.4848.s.1","regen in de drup",4,4
"79",1,"WR-P-E-C-0000000983","Kamelen"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.6.s.1.w.32 p.6.s.1.w.33 p.6.s.1.w.34 p.6.s.1.w.35",0,"",2,79,"WR-P-E-C","e-magazines","WR-P-E-C-0000000983-p.6.s.1","regen in de drup",4,4
"6",1,"WR-P-E-C-0000001004","Hoor de wind waait"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35",0,"",2,6,"WR-P-E-C","e-magazines","WR-P-E-C-0000001004-p.8.s.1","regen in de drup",4,4
"114",1,"WR-P-P-B-0000000026","De samenzwering van Calaspia"," nu of ze van de","regen in de drup"," waren geraakt . De schaduw","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.641.s.3.w.10 p.641.s.3.w.11 p.641.s.3.w.12 p.641.s.3.w.13",0,"",2,114,"WR-P-P-B","books","WR-P-P-B-0000000026-p.641.s.3","regen in de drup",4,4
"166",2,"WR-P-E-G-0000007728","Subtitles for Thuis 1742"," hebt me geholpen(!) Van de","wal in de sloot"," . Femke . Het gaat","wal in de sloot","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.413.s.1.w.9 p.413.s.1.w.10 p.413.s.1.w.11 p.413.s.1.w.12",0,"",2,166,"WR-P-E-G","subtitles","WR-P-E-G-0000007728-p.413.s.1","wal in de sloot",4,4
"167",2,"WR-P-E-A-0004419124","Schooldouchen"," in mijn ogen van de","wal in de sloot"," gaat . Uiteraard is een","wal in de sloot","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.1.s.1.w.24 p.1.s.1.w.25 p.1.s.1.w.26 p.1.s.1.w.27",0,"",2,167,"WR-P-E-A","discussion lists","WR-P-E-A-0004419124-p.1.s.1","wal in de sloot",4,4
"168",2,"WR-P-E-A-0004316092","Kwijtschelding, wao, kinderbijslag, enz."," en komen ze van de","wal in de sloot"," . Maar ja de behaalde","wal in de sloot","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.5.s.13.w.17 p.5.s.13.w.18 p.5.s.13.w.19 p.5.s.13.w.20",0,"",2,168,"WR-P-E-A","discussion lists","WR-P-E-A-0004316092-p.5.s.13","wal in de sloot",4,4
"169",2,"WR-P-E-G-0000005067","Subtitles for Thuis 570"," . Ja , van de","wal in de sloot"," . Nee . Ik kan","wal in de sloot","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.234.s.1.w.5 p.234.s.1.w.6 p.234.s.1.w.7 p.234.s.1.w.8",0,"",2,169,"WR-P-E-G","subtitles","WR-P-E-G-0000005067-p.234.s.1","wal in de sloot",4,4
"170",2,"WR-P-E-A-0000647060","Internet-haatbaard weg bij islamitische omroep na dubieuze uitspraken"," echt alleen maar van de","wal in de sloot"," . Tegelijkertijd aantonend dat de","wal in de sloot","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.12.s.1.w.34 p.12.s.1.w.35 p.12.s.1.w.36 p.12.s.1.w.37",0,"",2,170,"WR-P-E-A","discussion lists","WR-P-E-A-0000647060-p.12.s.1","wal in de sloot",4,4
