Column1;doc_id;doc_name;left_context;idiom_found;right_context;idiom_lemma;pos;pos_head;xml_id;with_verb;idiom_id;verb;amountofnouns;id;doc_type;doc_type_name;sentenceid;Idiomatic;
19;WR-P-E-A-0004856647;Onhandig; zo komen we van de;regen in de drup; . Bedankt Rita ! groet;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.1.s.2.w.16 p.1.s.2.w.17 p.1.s.2.w.18 p.1.s.2.w.19;0;1;;2;19;WR-P-E-A;discussion lists;WR-P-E-A-0004856647-p.1.s.2;1;
105;WR-P-E-C-0000000820;Hoog bezoek; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.10.s.1.w.32 p.10.s.1.w.33 p.10.s.1.w.34 p.10.s.1.w.35;0;1;;2;105;WR-P-E-C;e-magazines;WR-P-E-C-0000000820-p.10.s.1;-;
89;WR-P-E-C-0000000871;Doctor; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35;0;1;;2;89;WR-P-E-C;e-magazines;WR-P-E-C-0000000871-p.8.s.1;-;
53;WR-P-E-C-0000000910;Knippen en scheren; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35;0;1;;2;53;WR-P-E-C;e-magazines;WR-P-E-C-0000000910-p.9.s.1;-;
70;WR-P-E-C-0000000873;Klederdracht; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.6.s.1.w.32 p.6.s.1.w.33 p.6.s.1.w.34 p.6.s.1.w.35;0;1;;2;70;WR-P-E-C;e-magazines;WR-P-E-C-0000000873-p.6.s.1;-;
127;WR-P-P-H-0000171717;Ik kan niet ni�t drinken; kwam ik daarmee van de;regen in de drup; . Ik ontdekte dat ik;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.1.s.1.w.7 p.1.s.1.w.8 p.1.s.1.w.9 p.1.s.1.w.10;0;1;;2;127;WR-P-P-H;periodicals magazines;WR-P-P-H-0000171717-p.1.s.1;-;
83;WR-P-E-C-0000000813;Lentebode; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.11.s.1.w.32 p.11.s.1.w.33 p.11.s.1.w.34 p.11.s.1.w.35;0;1;;2;83;WR-P-E-C;e-magazines;WR-P-E-C-0000000813-p.11.s.1;-;
81;WR-P-E-C-0000000788;Ver-binding; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.6.s.1.w.32 p.6.s.1.w.33 p.6.s.1.w.34 p.6.s.1.w.35;0;1;;2;81;WR-P-E-C;e-magazines;WR-P-E-C-0000000788-p.6.s.1;-;
59;WR-P-E-C-0000001117;Aanloopje; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.12.s.1.w.32 p.12.s.1.w.33 p.12.s.1.w.34 p.12.s.1.w.35;0;1;;2;59;WR-P-E-C;e-magazines;WR-P-E-C-0000001117-p.12.s.1;-;
20;WR-P-E-A-0004404037;Per ongeluk; luierfetisjisme ontstaan , van de;regen in de drup; ;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.1.s.4.w.32 p.1.s.4.w.33 p.1.s.4.w.34 p.1.s.4.w.35;0;1;;2;20;WR-P-E-A;discussion lists;WR-P-E-A-0004404037-p.1.s.4;1;
11;WR-P-E-C-0000000587;Rondje Medina; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.7.s.1.w.32 p.7.s.1.w.33 p.7.s.1.w.34 p.7.s.1.w.35;0;1;;2;11;WR-P-E-C;e-magazines;WR-P-E-C-0000000587-p.7.s.1;-;
144;WR-P-P-G-0000239166;Ambulance in de borst' hapert wel eens; van de defibrillator van de;regen in de drup; terechtkomt . Er zijn al;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.4.s.6.w.25 p.4.s.6.w.26 p.4.s.6.w.27 p.4.s.6.w.28;0;1;;2;144;WR-P-P-G;newspapers;WR-P-P-G-0000239166-p.4.s.6;1;
134;WR-P-P-I-0000000033;Afgedankte voertuigen; we wel eens van de;regen in de drup; komen . Ribeiro e Castro;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.269.s.3.w.30 p.269.s.3.w.31 p.269.s.3.w.32 p.269.s.3.w.33;0;1;;2;134;WR-P-P-I;policy documents;WR-P-P-I-0000000033-p.269.s.3;1;
113;WR-P-E-L-0000000405;Unspecified; @keesfr typisch geval van de;regen in de drup; . ben beperkt oo mijn;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;text.1.event.1920.s.1.w.6 text.1.event.1920.s.1.w.7 text.1.event.1920.s.1.w.8 text.1.event.1920.s.1.w.9;0;1;;2;113;WR-P-E-L;tweets;WR-P-E-L-0000000405-text.1.event.1920.s.1;1;
163;WR-P-P-I-0000000039;Hervatting van de zitting; goede komt , van de;regen in de drup; komen . Ik wil nu;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.521.s.4.w.32 p.521.s.4.w.33 p.521.s.4.w.34 p.521.s.4.w.35;0;1;;2;163;WR-P-P-I;policy documents;WR-P-P-I-0000000039-p.521.s.4;1;
58;WR-P-E-C-0000000922;Enkele elementaire verkeersregels (in Tunesië); die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35;0;1;;2;58;WR-P-E-C;e-magazines;WR-P-E-C-0000000922-p.8.s.1;1;
158;WR-P-P-G-0000128340;Hulp na terreur in voorbereiding; oplopen dat ze van de;regen in de drup; raken . Deursen bevestigt dit;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.5.s.3.w.22 p.5.s.3.w.23 p.5.s.3.w.24 p.5.s.3.w.25;0;1;;2;158;WR-P-P-G;newspapers;WR-P-P-G-0000128340-p.5.s.3;1;
132;WR-P-E-J-0000032465;Lijst van uitdrukkingen en gezegden P-U; te voorzien. regen Van de;regen in de drup; . : Een verandering in;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.1.s.58.w.23 p.1.s.58.w.24 p.1.s.58.w.25 p.1.s.58.w.26;0;1;;2;132;WR-P-E-J;wikipedia;WR-P-E-J-0000032465-p.1.s.58;1;
131;WR-P-P-H-0000150684;De toekomst van de wijsbegeerte; niet verliest . Van de;regen in de drup; raakt ze alleen maar wanneer;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.9.s.2.w.3 p.9.s.2.w.4 p.9.s.2.w.5 p.9.s.2.w.6;0;1;;2;131;WR-P-P-H;periodicals magazines;WR-P-P-H-0000150684-p.9.s.2;1;
43;WR-P-E-C-0000000514;Engelen en demonen; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.11.s.1.w.32 p.11.s.1.w.33 p.11.s.1.w.34 p.11.s.1.w.35;0;1;;2;43;WR-P-E-C;e-magazines;WR-P-E-C-0000000514-p.11.s.1;-;
133;WR-P-P-I-0000000217;Hervatting van de zitting; dan zouden we van de;regen in de drup; komen . We moeten in;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.83.s.5.w.23 p.83.s.5.w.24 p.83.s.5.w.25 p.83.s.5.w.26;0;1;;2;133;WR-P-P-I;policy documents;WR-P-P-I-0000000217-p.83.s.5;1;
162;WR-P-P-H-0000158138;Illusies van een generatie; het gevoel hebben van de;regen in de drup; te raken . Hij laat;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.1.s.5.w.43 p.1.s.5.w.44 p.1.s.5.w.45 p.1.s.5.w.46;0;1;;2;162;WR-P-P-H;periodicals magazines;WR-P-P-H-0000158138-p.1.s.5;1;
29;WR-P-E-L-0000000357;Unspecified; 39 Celsius . Van de;regen in de drup;" ? #hetisooknooitgoed ;-)) @ Ton_Cooijmans";regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;text.1.event.598.s.2.w.3 text.1.event.598.s.2.w.4 text.1.event.598.s.2.w.5 text.1.event.598.s.2.w.6;0;1;;2;29;WR-P-E-L;tweets;WR-P-E-L-0000000357-text.1.event.598.s.2;1;
80;WR-P-E-C-0000016798;JO vanuit de nieuwsstudio; Vlaamse spreekwoord ' Van de;regen in de drup; ' ... RadioVisie start morgen;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.1.s.25.w.18 p.1.s.25.w.19 p.1.s.25.w.20 p.1.s.25.w.21;0;1;;2;80;WR-P-E-C;e-magazines;WR-P-E-C-0000016798-p.1.s.25;1;
15;WR-P-E-C-0000000502;Zomertijd; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35;0;1;;2;15;WR-P-E-C;e-magazines;WR-P-E-C-0000000502-p.8.s.1;-;
25;WR-P-P-B-0000000238;Stiltetijd; in Rwanda . Van de;regen in de drup; , kun je wel zeggen;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.202.s.2.w.3 p.202.s.2.w.4 p.202.s.2.w.5 p.202.s.2.w.6;0;1;;2;25;WR-P-P-B;books;WR-P-P-B-0000000238-p.202.s.2;1;
154;WR-P-P-G-0000134229;Euro-commissaris per land werkt averechts; komen we echt van de;regen in de drup; . Dat Bolkestein eerst moppert;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.8.s.5.w.7 p.8.s.5.w.8 p.8.s.5.w.9 p.8.s.5.w.10;0;1;;2;154;WR-P-P-G;newspapers;WR-P-P-G-0000134229-p.8.s.5;1;
92;WR-P-E-C-0000000800;Kink in de kabel; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35;0;1;;2;92;WR-P-E-C;e-magazines;WR-P-E-C-0000000800-p.8.s.1;-;
97;WR-P-E-C-0000000836;Als een struisvogel in Tunesië; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35;0;1;;2;97;WR-P-E-C;e-magazines;WR-P-E-C-0000000836-p.9.s.1;-;
69;WR-P-E-C-0000000697;Incidentje of accidentje; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35;0;1;;2;69;WR-P-E-C;e-magazines;WR-P-E-C-0000000697-p.9.s.1;-;
42;WR-P-E-C-0000001171;Zonder zorgen op vakantie...; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35;0;1;;2;42;WR-P-E-C;e-magazines;WR-P-E-C-0000001171-p.8.s.1;-;
153;WR-P-P-G-0000118450;Van de regen in de drup; we alleen maar van de;regen in de drup; . Joep Engels ;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.22.s.6.w.19 p.22.s.6.w.20 p.22.s.6.w.21 p.22.s.6.w.22;0;1;;2;153;WR-P-P-G;newspapers;WR-P-P-G-0000118450-p.22.s.6;1;
8;WR-P-E-C-0000001158;Hemelhoog; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35;0;1;;2;8;WR-P-E-C;e-magazines;WR-P-E-C-0000001158-p.9.s.1;-;
39;WR-P-E-C-0000001173;Waterslang; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35;0;1;;2;39;WR-P-E-C;e-magazines;WR-P-E-C-0000001173-p.9.s.1;-;
67;WR-P-E-C-0000000889;Schorpioenen; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.7.s.1.w.32 p.7.s.1.w.33 p.7.s.1.w.34 p.7.s.1.w.35;0;1;;2;67;WR-P-E-C;e-magazines;WR-P-E-C-0000000889-p.7.s.1;-;
166;WR-P-E-G-0000007728;Subtitles for Thuis 1742; hebt me geholpen(!) Van de;wal in de sloot; . Femke . Het gaat;wal in de sloot;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.413.s.1.w.9 p.413.s.1.w.10 p.413.s.1.w.11 p.413.s.1.w.12;0;2;;2;166;WR-P-E-G;subtitles;WR-P-E-G-0000007728-p.413.s.1;1;
167;WR-P-E-A-0004419124;Schooldouchen; in mijn ogen van de;wal in de sloot; gaat . Uiteraard is een;wal in de sloot;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.1.s.1.w.24 p.1.s.1.w.25 p.1.s.1.w.26 p.1.s.1.w.27;0;2;;2;167;WR-P-E-A;discussion lists;WR-P-E-A-0004419124-p.1.s.1;1;
168;WR-P-E-A-0004316092;Kwijtschelding, wao, kinderbijslag, enz.; en komen ze van de;wal in de sloot; . Maar ja de behaalde;wal in de sloot;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.5.s.13.w.17 p.5.s.13.w.18 p.5.s.13.w.19 p.5.s.13.w.20;0;2;;2;168;WR-P-E-A;discussion lists;WR-P-E-A-0004316092-p.5.s.13;1;
169;WR-P-E-G-0000005067;Subtitles for Thuis 570; . Ja , van de;wal in de sloot; . Nee . Ik kan;wal in de sloot;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.234.s.1.w.5 p.234.s.1.w.6 p.234.s.1.w.7 p.234.s.1.w.8;0;2;;2;169;WR-P-E-G;subtitles;WR-P-E-G-0000005067-p.234.s.1;1;
170;WR-P-E-A-0000647060;Internet-haatbaard weg bij islamitische omroep na dubieuze uitspraken; echt alleen maar van de;wal in de sloot; . Tegelijkertijd aantonend dat de;wal in de sloot;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.12.s.1.w.34 p.12.s.1.w.35 p.12.s.1.w.36 p.12.s.1.w.37;0;2;;2;170;WR-P-E-A;discussion lists;WR-P-E-A-0000647060-p.12.s.1;1;
171;WR-P-E-A-0005022348;Claudia; toe alleen maar van de;wal in de sloot; . Daarbij wordt ze zowat;wal in de sloot;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.4.s.2.w.14 p.4.s.2.w.15 p.4.s.2.w.16 p.4.s.2.w.17;0;2;;2;171;WR-P-E-A;discussion lists;WR-P-E-A-0005022348-p.4.s.2;1;
172;WR-P-P-B-0000000191;Het eindige leven; managers die me van de;wal in de sloot; hielpen waardoor ik al mijn;wal in de sloot;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.282.s.1.w.29 p.282.s.1.w.30 p.282.s.1.w.31 p.282.s.1.w.32;0;2;;2;172;WR-P-P-B;books;WR-P-P-B-0000000191-p.282.s.1;1;
173;WR-P-P-B-0000000029;De minnaar zonder verblijfplaats; sinds de consomm� van de;wal in de sloot; zien raken . De gastvrouw;wal in de sloot;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.1322.s.1.w.25 p.1322.s.1.w.26 p.1322.s.1.w.27 p.1322.s.1.w.28;0;2;;2;173;WR-P-P-B;books;WR-P-P-B-0000000029-p.1322.s.1;1;
174;WR-P-E-L-0000000584;Unspecified; en VVD raken van de;wal in de sloot; . SGP houdt de vinger;wal in de sloot;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;text.1.event.3335.s.1.w.8 text.1.event.3335.s.1.w.9 text.1.event.3335.s.1.w.10 text.1.event.3335.s.1.w.11;0;2;;2;174;WR-P-E-L;tweets;WR-P-E-L-0000000584-text.1.event.3335.s.1;1;
